,Company,Investment_Date,Investment_Value,selling_value,number_of_stocks,stock_buying_value,stock_selling_value,percentage_change,net_profit
0,STBA,2012-01-02,158.23011785427127,,,,,,
1,HFWA,2012-01-02,137.07431916058877,,,,,,
2,WIA,2012-01-02,119.40485493579962,,,,,,
3,HUBB,2012-01-02,12.82896896346887,,,,,,
4,FLS,2012-01-05,67.64338596588416,87.41274413270351,1.9612462358364011,34.4900016784668,44.5699996948242,0.2922585539521926,19.769358166819345
5,BERY,2012-01-05,34.000527051869504,,,,,,
6,VTHR,2012-01-06,47.79074941841438,103.82496840963435,0.8227018297965233,58.0900001525879,126.199996948242,1.1724909040582918,56.03421899121997
7,WFC,2012-01-06,68.24884271467317,151.61939350783393,2.366464714063082,28.8400001525879,64.0699996948242,1.2215672453481248,83.37055079316076
8,ASET,2012-01-06,78.95463744854294,,,,,,
9,RCON,2012-01-07,24.785968100321792,,,,,,
10,LGCYP,2012-01-08,87.79545637797709,,,,,,
11,PSCC,2012-01-08,146.7777771644617,,,,,,
12,ALG,2012-01-09,55.150338700177066,219.59754359116388,1.9682490292356927,28.0200004577637,111.569999694824,2.981798639261282,164.44720489098682
13,PRAN,2012-01-09,133.57574593080238,40.43619775129386,15.144642919793718,8.81999969482422,2.67000007629395,-0.697278892440238,-93.13954817950852
14,OMNT,2012-01-09,25.21836309472944,4.971620221675539,1.4410493196988252,17.5,3.45000004768372,-0.8028571401323589,-20.2467428730539
15,DECK,2012-01-11,29.409251683960477,30.835252634855266,0.3293309146575844,89.3000030517578,93.629997253418,0.04848817529323664,1.4260009508947888
16,FYC,2012-01-12,3.813775442107922,8.430761083952081,0.19638390458934232,19.4200000762939,42.9300003051758,1.2106076280391311,4.61698564184416
17,TCF,2012-01-13,30.724113461268036,59.92585782488609,2.7679380545390573,11.1000003814697,21.6499996185303,0.9504503490533864,29.20174436361805
18,ASMB,2012-01-14,0.4374792794100686,,,,,,
19,AOSL,2012-01-15,283.2246901928465,,,,,,
20,SNMX,2012-01-16,492.9436093477332,,,,,,
21,CTMX,2012-01-18,60.966808449754346,,,,,,
22,AZZ,2012-01-18,114.94564843252323,220.95490017849593,4.910108892855465,23.4099998474121,45.0,0.9222554589198174,106.0092517459727
23,THQ,2012-01-23,6.569275720194208,,,,,,
24,TG,2012-01-24,64.81581884221374,47.971790542221626,2.6950445279987387,24.0499992370605,17.7999992370605,-0.25987526811929756,-16.844028299992118
25,DLTH,2012-01-24,155.13673754803096,,,,,,
26,MITL,2012-01-28,45.419538732430645,,,,,,
27,EACQ,2012-01-30,21.057705413013217,,,,,,
28,CPHC,2012-02-02,43.46783672860567,56.41731502616382,3.7863970785610457,11.4799995422363,14.8999996185303,0.2979094261904287,12.949478297558151
29,GFA,2012-02-05,27.808965879072836,,,,,,
30,MBWM,2012-02-06,130.29461723832134,381.59251086004605,10.803865066736247,12.0600004196167,35.3199996948242,1.928689756707883,251.2978936217247
31,INBK,2012-02-08,16.655945515835448,,,,,,
32,CLD,2012-02-08,191.6196862522,43.08779827315212,9.682651712353108,19.7900009155273,4.44999980926514,-0.7751389791107258,-148.5318879790479
33,NUO,2012-02-08,22.926391734507746,18.732700801588607,1.3229308618256954,17.3299999237061,14.1599998474121,-0.18291979747545672,-4.193690932919139
34,TCBI,2012-02-08,19.347698792394873,55.560065870424076,0.587005440831747,32.9599990844727,94.6500015258789,1.871662747420041,36.2123670780292
35,HSII,2012-02-09,66.19904189141285,74.2205713470752,2.854637359502892,23.1900005340576,26.0,0.12117289354157378,8.021529455662346
36,JPM,2012-02-12,120.06900471991568,,,,,,
37,EARN,2012-02-13,184.5501562245421,,,,,,
38,VRSK,2012-02-14,14.807966748859569,36.34147912262672,0.36771707426203226,40.2700004577637,98.8300018310547,1.454184273842022,21.533512373767152
39,BUI,2012-02-15,67.66869414573088,71.79064096752808,3.4349589606631987,19.7000007629395,20.8999996185303,0.06091364513286158,4.121946821797195
40,PRT,2012-02-19,86.75486445016642,,,,,,
41,CHSCL,2012-02-19,2.1932639679682375,,,,,,
42,ISG,2012-02-19,21.060762448937638,,,,,,
43,UA,2012-02-22,163.7902199761238,,,,,,
44,WIT,2012-02-24,20.743580722215643,22.215993053268516,4.068863168141706,5.09812688827515,5.46000003814697,0.07098158947437508,1.4724123310528725
45,LITE,2012-02-24,35.86983597337949,,,,,,
46,FMAO,2012-02-25,167.11927598142086,,,,,,
47,CBS,2012-02-26,436.3423118604685,,,,,,
48,RHT,2012-02-27,68.52079509279537,177.2347202657138,1.3845381444512843,49.4900016784668,128.009994506836,1.5865829493906323,108.71392517291844
49,PCTY,2012-02-27,6.932295713769309,,,,,,
50,TRN,2012-02-28,76.50669237786792,145.18981343929576,4.322411812436679,17.7000007629395,33.5900001525879,0.8977400398150882,68.68312106142784
51,HCCI,2012-03-01,48.25219828541683,45.65566982338837,2.1637757818944774,22.2999992370605,21.1000003814697,-0.05381160971505836,-2.596528462028459
52,AMED,2012-03-02,31.792021960557285,129.5361113964464,2.519177674235677,12.6199998855591,51.4199981689453,3.074484836389304,97.7440894358891
53,ARAY,2012-03-07,11.449615848803191,10.86056862998348,1.8407743143107735,6.21999979019165,5.90000009536743,-0.05144689800935841,-0.5890472188197116
54,SYMC,2012-03-07,16.438639709840103,25.884152472872998,0.9579626955718893,17.1599998474121,27.0200004577637,0.5745921152696624,9.445512763032895
55,FNLC,2012-03-10,62.72253662678965,,,,,,
56,CVRR,2012-03-11,15.369169387022435,,,,,,
57,IBTX,2012-03-12,11.23706117989767,,,,,,
