,propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,superTopHighlight,topNewDevelopment,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,neighborhood,detailedType.subTypology,labels,parkingSpace.parkingSpacePrice,newDevelopmentFinished
10,95290503,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ac/c0/20/914442594.jpg,29,7,230000.0,flat,sale,115.0,True,3,2,Los Castros - Castrillón,A Coruña,A Coruña,Los Castros - Castrillón,es,43.35108,-8.38883,False,https://www.idealista.com/inmueble/95290503/,3018,"PISO DE 3H Y 2B, EN LA ZONA DE LOS CASTROS DE LA CORUÑA. 99m2. Al lado del parque y el gimnasio San Diego. Salón con cocina equipada y moderna, 3 dormitorios y 2 baños completos. Piso exterior y luminoso, con vistas despejadas, viéndose el mar al fondo. Armarios empotrados grandes. Edificio con ascensores y zona común ajardinada. Garaje y trastero incluidos en el precio Al lado de la salida de la ciudad por los Castros y conectado con el centro por la Avd de Ejército y Avd de Oza. Rodeado de todos los servicios urbanos. Muy próximo a la playa de Oza. Al lado del parque y el Centro Deportivo San Diego. En sus alrededores encontramos además, el Hospital Marítimo de Oza (La Coruña) y el Campus La Coruña - Oza – UDC.",False,good,False,True,2000.0,False,False,False,False,False,False,flat,"Los Castros - Castrillón, A Coruña",Piso,DC Coruña PS T je00100300700A,True,True,,,,,
11,95337346,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/59/e8/f1/1107766684.jpg,15,8,230000.0,flat,sale,108.0,True,3,2,Los Castros - Castrillón,A Coruña,A Coruña,Los Castros - Castrillón,es,43.34858,-8.38903,False,https://www.idealista.com/inmueble/95337346/,3284,"Piso de 3 dormitorios a estrenar en Los Castros.  Área con todos los servicios en su entorno como: bancos, bibliotecas, farmacias, oficinas de correos, centros escolares y deportivos y muy bien comunicado con el centro de la ciudad a través de bus urbano. La vivienda de 108m2 se distribuye en 3 dormitorios con armarios empotrados, 2 cuartos de baño completos (uno de ellos en suit), cocina independiente totalmente equipada y amplio salón-comedor. Suelos de parquet y gres. Calefacción por gas natural. Inclyuye plaza de Garaje y Trastero en el precio. Llámenos para concertar una visita o solicitar más información.",False,good,False,True,2130.0,False,False,False,False,False,False,flat,"Los Castros - Castrillón, A Coruña",Piso,10022,True,True,,,,,
12,98086600,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c7/25/40/1000840277.jpg,27,3,299000.0,flat,sale,191.0,True,5,2,Avenida de Oza,A Coruña,A Coruña,Cuatro Caminos - Plaza de la Cubela,es,43.3578685,-8.4010604,False,https://www.idealista.com/inmueble/98086600/,2170,"Fantástico piso clásico de techos altos con una superficie de 180 m2 útiles para reformar en una de las mejores zonas de la ciudad, delante de tabacalera en cuatro caminos. En este momento dispone de 5 dormitorios, 2 cuartos de baño y un salón comedor con una pequeña terraza a la calle. Necesita una reforma integral, una vivienda de increíbles posibilidades de diseño.",False,renew,False,True,1565.0,False,False,False,False,False,False,flat,"Cuatro Caminos - Plaza de la Cubela, A Coruña",Piso en Avenida de Oza,AVENIDA DE OZA,,,,,,,
13,100837881,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3e/76/45/1100575108.jpg,70,2,175000.0,flat,sale,78.0,True,2,2,Calle José Pascual López-Cortón,A Coruña,A Coruña,Someso - Matogrande,es,43.3380753,-8.4088036,False,https://www.idealista.com/inmueble/100837881/,4439,"Se vende piso en A Coruña, calle José Pascual López Cortón, segundo con ascensor. Vivienda de 78 m2 distribuidos en salón, dos dormitorios, cocina independiente, y dos baños, uno de ellos en suite. Exterior, todas las estancias dan a la calle excepto el baño del pasillo; el piso es muy soleado, orientación sureste; armarios empotrados amplios en los dormitorios y en la entrada; cocina equipada con lavavajillas, vitrocerámica, nevera combi y microondas; cuarto de lavandería con tendedero interior; ventanas oscilobatientes, suelo de tarima, calefacción y ACS con caldera central y contador individual Plaza de garaje amplia con rampa de entrada y salida Trastero de 4 m2 Piscina y gimnasio  Ubicación excelente para entrada y salida de la ciudad.",False,good,False,True,2244.0,False,False,False,False,False,False,flat,"Someso - Matogrande, A Coruña",Piso en Calle José Pascual López-Cortón,R21263,True,True,,,,,
14,98726785,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1e/ec/2b/1021968279.jpg,4,,55000.0,chalet,sale,98.0,False,2,2,"Calle O Portalón, 38",A Coruña,A Coruña,Elviña - A Zapateira,es,43.3346192,-8.4045889,True,https://www.idealista.com/inmueble/98726785/,4770,"Desde HOUSE BY CLICK, te presentamos esta propiedad con IDEAL PARA INVERTIR en la zona de Castro de Elviña, cerca de supermercados y con fáciles accesos de entradas y salidas a la ciudad. Es una casa adosada para RESTAURAR A TU GUSTO, compuesta de 2 plantas, con una superficie de 98 m2 y una parcela de 84m2,  Desde HOUSE BY CLICK, lo invitamos a realizar una visita, no dudes en contactarnos y tener el gusto de brindarle una mejor información del inmueble.  .",False,renew,False,,561.0,False,False,False,False,False,False,chalet,"Elviña - A Zapateira, A Coruña","Chalet adosado en Calle o Portalón, 38",,,,,terracedHouse,,,
15,100055777,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/65/1d/e7/1067141925.jpg,16,1,119999.0,flat,sale,56.0,True,2,1,"Puerta de Aires, 25",A Coruña,A Coruña,Ciudad Vieja - Centro,es,43.3709766,-8.3925863,True,https://www.idealista.com/inmueble/100055777/,851,"OPORTUNIDAD INVERSORES PISO en CIUDAD VIEJA! Presentamos esta fantástica oportunidad de hacerte con un piso en plena ciudad vieja, a escasos metros de la Iglesia de las Colegiatas así como de la emblemática plaza de María Pita.  Se ubica en la primera planta de un edifico con mas de 140 años de antigüedad, que aun conserva su estructura original.  El piso precisa de una reforma integral, abriendo un gran abanico de posibilidades al respecto, para poder hacerte con una vivienda reformada en pleno casco histórico. Se distribuye en un largo pasillo que conecta todas las estancias del inmueble; a mano izquierda encontramos la cocina, equipada y funcional con ventanales climalit al igual que el baño. Al lado de estas estancias encontramos la primera de las habitaciones, actualmente utilizada como espacio de almacenaje, aunque con grandes posibilidades de conectarla con la cocina y ampliar esta en tamaño. Del otro lado del pasillo encontramos el actual dormitorio, en habitación italiana con armario empotrado y la estancia que se usaría como salón con una mesa central.  A lo largo de los próximos días actualizaremos el anuncio con algunos diseños digitales de los diferentes tipos de reformas que se podrían llevar a cabo para conseguir la mayor rentabilidad. Este anuncio se muestra únicamente a título informativo y puede contener errores, en ningún caso es vinculante.",False,renew,False,False,2143.0,False,False,False,False,False,False,flat,"Ciudad Vieja - Centro, A Coruña","Piso en Puerta de Aires, 25",,,,,,,,
16,82377328,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/27/75/28/1098065154.jpg,12,3,220000.0,flat,sale,87.0,True,3,2,Calle Médico Durán,A Coruña,A Coruña,Ensanche - Juan Florez,es,43.3614361,-8.4080804,False,https://www.idealista.com/inmueble/82377328/,1925,"REF 5951. ZONA JUAN FLÓREZ REFORMADO. Consta de salón comedor amplio con cocina americana totalmenete equipada con todos los electrodomésticos, 3 dormitorios con armario empotrado, 2 baños completos y en el precio se incluye  trastero.   Cuenta con puertas lacadas en blanco, suelos de parquet, ventanas climalit oscilobatientes,.. . Amplio y luminoso, situado en una de las zonas más céntricas de la ciudad, a un paso de Juan Flórez. Todo tipo de servicios cercanos. Es una tercera planta sin ascensor Si quieres más información y/o concertar una visita, llámanos al 981914705 o pasa por nuestra oficina en Plaza de Vigo (Calle Menéndez y Pelayo, 12, Bajo). Para encontrar más alternativas.",True,good,False,False,2529.0,False,False,False,False,False,False,flat,"Falperra-Santa Lucía, A Coruña",Piso en Calle Médico Durán,05951,,,Falperra-Santa Lucía,,,,
17,98726184,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/25/4b/52/1021764834.jpg,10,,55000.0,chalet,sale,98.0,False,3,2,Calle O PORTALON,A Coruña,A Coruña,Elviña - A Zapateira,es,43.3335198,-8.4031807,False,https://www.idealista.com/inmueble/98726184/,4882,"CARACTERÍSTICAS: Se vende casa para rehabilitar totalmente en la zona de Castro de Elviña, zona muy bien comunicada tanto para entrada como salida de la ciudad con hipermercados en sus cercanías. Se trata de una vivienda de dos plantas de 98 m² con una pequeña parcela de 84 m²  Ideal para inversores POSIBILIDAD DEL 100% DE FINANCIACIÓN Para más inmuebles consulta en nuestra página web.",False,renew,False,,561.0,False,False,False,False,False,False,chalet,"Elviña - A Zapateira, A Coruña",Chalet adosado en Calle o Portalon,CV253P,,,,terracedHouse,,,
18,100593319,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/48/05/2b/1092885202.jpg,48,4,295000.0,flat,sale,126.0,True,4,1,barrio Juan Flórez-San Pablo,A Coruña,A Coruña,Ensanche - Juan Florez,es,43.3688779,-8.4095784,False,https://www.idealista.com/inmueble/100593319/,1294,"Piso en muy buen estado, próximo a la playa de Riazor y a la zona escolar. La actual distribución: entrada por el centro de la vivienda a través de un amplio espacio, actualmente abierto al pasillo; a la fachada dan dos habitaciones, cada una de ellas con una italiana, al patio de manzana dan la cocina, un cuarto de baño grande y otra habitación con otra italiana. Si bien el estado actual de la vivienda es muy bueno, se pueden hacer diversas nuevas distribuciones e incluso añadir un cuarto de baño más.  En el 2003 se hizo una reforma y se cambiaron cocina, baño, las ventanas, la electricidad y la fontanería, entre otras cosas. La calefacción es eléctrica pero ya tiene la instalación con tuberías de agua para poder conectarla a la caldera de gas natural estanca que ya tiene actualmente para el agua caliente. Techos bastante altos.  En cuanto a las zonas comunes del edificio están muy cuidadas, en primavera se va a poner la cubierta nueva que ya está pagada. Vistas laterales de la playa desde las habitaciones de la fachada. Actualmente no tiene ascensor pero ya está aprobada en junta su instalación. La zona es inmejorable en cuanto a servicios y comunicación. Todo tipo de tiendas, supermercados, colegios, playa, paso marítimo. Muy buena orientación. IBI: 404,56€.",False,good,False,False,2341.0,True,False,False,False,False,False,flat,"Juan Flórez-San Pablo, A Coruña",Piso,,,,Juan Flórez-San Pablo,,,,
19,100120532,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/75/f9/ae/1071381942.jpg,24,4,295000.0,flat,sale,126.0,True,4,1,barrio Juan Flórez-San Pablo,A Coruña,A Coruña,Ensanche - Juan Florez,es,43.3691106,-8.4120078,False,https://www.idealista.com/inmueble/100120532/,1420,"Piso en muy buen estado, próximo a la playa de Riazor y a la zona escolar. La actual distribución: entrada por el centro de la vivienda a través de un amplio espacio, actualmente abierto al pasillo; a la fachada dan dos habitaciones, cada una de ellas con una italiana, al patio de manzana dan la cocina, un cuarto de baño grande y otra habitación con otra italiana. Si bien el estado actual de la vivienda es muy bueno, se pueden hacer diversas nuevas distribuciones e incluso añadir un cuarto de baño más.  En el 2003 se hizo una reforma y se cambiaron cocina, baño, las ventanas, la electricidad y la fontanería, entre otras cosas. La calefacción es eléctrica pero ya tiene la instalación con tuberías de agua para poder conectarla a la caldera de gas natural estanca que ya tiene actualmente para el agua caliente. Techos bastante altos.  En cuanto a las zonas comunes del edificio están muy cuidadas, en primavera se va a poner la cubierta nueva que ya está pagada. Vistas laterales de la playa desde las habitaciones de la fachada. Actualmente no tiene ascensor pero ya está aprobada en junta su instalación. La zona es inmejorable en cuanto a servicios y comunicación. Todo tipo de tiendas, supermercados, colegios, playa, paso marítimo. Muy buena orientación. IBI: 404,56€.",False,good,False,False,2341.0,True,False,False,False,False,False,flat,"Juan Flórez-San Pablo, A Coruña",Piso,,,,Juan Flórez-San Pablo,,,,
