,propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,superTopHighlight,topNewDevelopment,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,externalReference,neighborhood,parkingSpace.parkingSpacePrice,labels,newDevelopmentFinished
10,99139177,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/45/6e/e6/1034809386.jpg,39,8,265000.0,flat,sale,115.0,True,3,2,"Sebastian elcano, 9",A Coruña,A Coruña,Monte Alto - Zalaeta - Atocha,es,43.3845518,-8.3962619,True,https://www.idealista.com/inmueble/99139177/,826,"Desde HOUSE BY CLICK te presentamos EXCELENTE PISO en ADORMIDERAS CON VISTAS AL MAR. Este FANTÁSTICO PISO se encuentra ubicado en la TRANQUILA ZONA de Adormideras en el barrio de Monte Alto, a escasos metros del paseo marítimo de A Coruña, de la playa de San Amaro y del Club del Mar. Justo por delante nos encontramos con un paseo que rodea la zona de los Menhires, los Petroglifos de Punta Herminia, la Torre de Hércules, el club del Mar, Centro de salud y la Playa de Adormideras.  Una zona de la ciudad con INCOMPARABLES VISTAS y rodeado de naturaleza. Piso totalmente exterior muy LUMINOSO, con una ORIENTACIÓN sureste a la habitación principal y al salón, cocina y dos dormitorios ORIENTACIÓN noroeste. AMPLIO salón comedor, una cocina independiente EQUIPADA con ELECTRODOMÉSTICOS y tendedero, consta de 3 dormitorios COMODOS, uno de ellos con baño completo en suite, y todos con armarios empotrados, y un baño completo para las zonas comunes Suelos de parquet, carpintería de madera maciza, armarios empotrados, ventanas de doble acristalamiento, calefacción y agua caliente de gas natural.  Cuenta con PLAZA DE GARAJE OPCIONAL EN 25.000€ con bajada directa de la vivienda y TRASTERO en la última planta del edificio, y JARDIN PRIVADO. Desde HOUSE BY CLICK, lo invitamos a realizar una visita, no dudes en contactarnos, para que recibas información personalizada. ""Este anuncio se muestra a título informativo y no contractual. "".",False,good,False,True,2304.0,False,False,False,False,False,False,flat,"Monte Alto - Zalaeta - Atocha, A Coruña","Piso en Sebastian elcano, 9",True,False,,,,25000.0,,
11,99097608,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/39/e0/16/1033392389.jpg,14,4,160000.0,duplex,sale,120.0,False,5,2,Calle das Petunias,A Coruña,A Coruña,Someso - Matogrande,es,43.3440598,-8.4037895,False,https://www.idealista.com/inmueble/99097608/,3720,"REF. 7343 DÚPLEX  EN EL BARRIO DE LAS FLORES. Perfecto como inversión, cuenta con 120m2, distribuídos en dos plantas. En la planta principal ó superior, se encuentra la entrada a esta vivienda, dando paso a una cocina independiente con acceso a zona de lavandería, salón de doble altura, 3 dormitoios, y un baño con bañera. En la planta baja se encuentran  2 dormitorios, otro baño mas con plato de ducha, y una zona de trastero. Cuenta con ascensor, y la plaza de garaje en venta, entraría en negociación. Si quieres más información y/o concertar una visita, llámanos al 981914705 o pasa por nuestra oficina en Plaza de Vigo (Calle Menéndez y Pelayo, 12, Bajo).   Para encontrar más alternativas.",True,renew,False,True,1333.0,False,False,False,False,False,False,flat,"Someso - Matogrande, A Coruña",Dúplex en Calle das Petunias,,,duplex,07343,,,,
12,97004886,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a6/ed/01/962868863.jpg,56,7,169000.0,flat,sale,87.0,True,2,1,Avenida Finisterre,A Coruña,A Coruña,Ensanche - Juan Florez,es,43.3624596,-8.4139881,False,https://www.idealista.com/inmueble/97004886/,2070,"PISO EN AVENIDA FINISTERRE A LA ALTURA DE LOS PUENTES Piso alto distribuido en: hall de entrada, 2 dormitorios (uno de ellos con vestidor incorporado), 1 cuarto de baño, cocina independiente, gran salón-comedor y despensa. Tiene una superficie de 87m2 y muchas posibilidades de cambio de distribución a la hora de reformarlo. El piso es muy luminoso y tiene vistas muy despejadas, llegando a observarse el mar, además es totalmente exterior. Piso de TECHOS ALTOS con molduras originales El edificio tiene gas natural. Ascensor.",False,renew,False,True,1943.0,False,False,False,False,False,False,flat,"Paseo de los Puentes-Santa Margarita, A Coruña",Piso en Avenida Finisterre,,,,049.36572,Paseo de los Puentes-Santa Margarita,,,
13,95431632,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/20/e1/0d/918197233.jpg,41,9,195000.0,flat,sale,148.0,True,3,2,Calle de José Luis Bugallal Marchesi,A Coruña,A Coruña,Someso - Matogrande,es,43.3478577,-8.410442,False,https://www.idealista.com/inmueble/95431632/,3412,"Piso de gran superficie en planta novena, 3 dormitorios, dotado de vistas panorámicas totalmente despejadas y mucha luz. Su amplia cocina y salón nos hace pensar en familias que buscan espacio sin salir de la ciudad, además de sus dos baños (uno de ellos totalmente reformado), zona de lavandería y amplio vestíbulo.  La vivienda incluye en su precio plaza de garaje. Se encuentra en una ubicación rodeada de todos los servicios e infraestructuras propios de un Barrio consolidado y dotado de amplias zonas verdes y deportivas, con colegios, centro de salud, supermercados o comercios de la zona.  Muy bien comunicado con la principal arteria de acceso a la ciudad de A Coruña.  Si buscas un piso familiar, ven a conocerlo. [IW].",False,good,False,True,1318.0,False,False,False,False,False,False,flat,"Someso - Matogrande, A Coruña",Piso en Calle de José Luis Bugallal Marchesi,True,True,,B188,,,,
14,98998966,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/be/d2/0a/1030940550.jpg,40,4,195000.0,flat,sale,101.0,True,4,2,Alcalde Salorio Suarez,A Coruña,A Coruña,Agra del Orzán - Ventorrillo,es,43.3592007,-8.4246272,False,https://www.idealista.com/inmueble/98998966/,2916,"Piso situado en la calle Alcalde Salorio Suarez, zona del Ventorrillo, al lado de Abanca y muy cerca del Centro de Especialidades del Sergas.  Es una cuarta planta con ascensor, completamente exterior, menos los baños; dispone de cuatro habitaciones (principal con baño incorporado y armario empotrado), dos baños completos con bañera y ventana al patio, salón comedor muy amplio haciendo esquina, cocina equipada con galería tendedero, trastero de unos 15 m2 en el bajo cubierta con ventana y plaza de garaje en el sótano (número 1).  Las ventanas están recién cambiadas. El edificio tiene los patios y bajantes, recién rehabilitados.  En el portal, tenemos doce escaleras hasta llegar al ascensor.  Los gastos de comunidad de la vivienda son 50€ mensuales y el garaje 100€ anuales.",False,good,False,True,1931.0,False,False,False,False,False,False,flat,"Agra del Orzán - Ventorrillo, A Coruña",Piso en Alcalde Salorio Suarez,True,False,,3499,,100.0,,
15,96430721,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9a/4c/6c/955601175.jpg,17,en,160000.0,studio,sale,255.0,True,0,2,"POZO, 11",A Coruña,A Coruña,Ensanche - Juan Florez,es,43.3592888,-8.4066571,True,https://www.idealista.com/inmueble/96430721/,2107,"¡Oportunidad! Estupenda entreplanta con 255 m2 y 4,67 metros de altura, que por su características y ubicación resulta ideal para convertir en un o varios Lofts o en un gran estudio.  Tiene el acceso por a calle Sinforino López, a nivel de calle y cota cero, pero por el desnivel del la calle la planta tiene la altura de una entreplanta o un primero con vistas despejadas a la Plaza de Francisco Prego y también a la calle Pozo. Esta entreplanta dispone de ventanas en tres fachadas, todas son exteriores y se podrían rediseñar para adecuarlas a tu proyecto.   Por sus características, permite muchas posibilidades de reforma al disponer de luz natural y ventilación en tres fachadas exteriores. Inicialmente solamente era una planta de 4,67 metros de altura y se dividió en dos plantas. La planta baja cuenta con 2,28 metros de altura y la planta alta con 2,18 metros de altura. Las dos plantas, en la actualidad, se encuentran divididas en varias oficinas.  Por su céntrica ubicación y amplitud es una gran oportunidad para que puedas diseñar tu vivienda o estudio.",False,renew,False,False,627.0,False,False,False,False,False,False,flat,"Falperra-Santa Lucía, A Coruña","Estudio en POZO, 11",,,studio,OC-2053,Falperra-Santa Lucía,,"[{'name': 'loftType', 'text': 'Loft'}]",
16,96419523,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/2f/52/16/947423975.jpg,33,1,270000.0,flat,sale,110.0,True,3,2,barrio Juan Flórez-San Pablo,A Coruña,A Coruña,Ensanche - Juan Florez,es,43.3623045,-8.4113483,False,https://www.idealista.com/inmueble/96419523/,1963,". Piso situado en Ciudad de Lugo, zona Palacio de la Opera. Se distribuye en  un salón amplio, cocina con acceso a una terraza de 15 metros, 3 dormitorios y 2 baños. La vivienda es exterior, necesita actualización, se trata de un buen piso con situación excelente.",False,renew,False,True,2455.0,True,False,True,False,False,False,flat,"Juan Flórez-San Pablo, A Coruña",Piso,,,,002603,Juan Flórez-San Pablo,,,
17,97132257,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5b/b9/ce/980234859.jpg,11,4,78000.0,flat,sale,52.0,True,1,1,"Avenida Finisterre, 64",A Coruña,A Coruña,Ensanche - Juan Florez,es,43.3649701,-8.4119759,True,https://www.idealista.com/inmueble/97132257/,1749,"En el número 64 de la céntrica Avenida de Finisterre de A Coruña, a escasos metros de la Plaza de Pontevedra, encontramos ésta vivienda totalmente desescombrada y lista para una reforma integral que le pueda volver a dar el brillo que le corresponde.  Publicamos plano del estado actual, diáfano, y la opción de distribución para un apartamento de 1 dormitorio. La distribución propuesta por el arquitecto es sólo orientativa ya que el espacio se podría distribuir a capricho! Una pieza única que podrás convertir en el apartamento de tus sueños con un fabuloso techado de madera que, una vez rehabilitado, le dará un singular toque decorativo.  Las infografías, totalmente orientativas, tratan de ayudar a la visualización del producto final que podríamos obtener tras una reforma de lo existente pero no son vinculantes ni la obra va incluida en el precio de venta del inmueble. El edificio no cuenta actualmente con ascensor. Por normativa se podría dotar, previa licencia, de dos terrazas. Una hacia la Avenida de Finisterre y otra hacia el patio interior. Ven a verlo! [IW].",False,good,False,False,1500.0,True,False,False,False,False,False,flat,"Juan Flórez-San Pablo, A Coruña","Piso en Avenida Finisterre, 64",,,,B210,Juan Flórez-San Pablo,,"[{'name': 'apartamentoType', 'text': 'Apartamento'}]",
18,99168635,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3e/85/04/1035825647.jpg,15,1,110000.0,flat,sale,62.0,True,2,1,VILLA DE NEGREIRA,A Coruña,A Coruña,Agra del Orzán - Ventorrillo,es,43.3634215,-8.420471,False,https://www.idealista.com/inmueble/99168635/,2351,"Inmobicar te presenta este piso situado en villa de Negreira. Ubicado en una zona con gran demanda, a sus alrededores cuenta con los principales servicios, supermercados, colegios, parada de bus, a tan solo 3 minutos de la tercera ronda. Ideal como inversión, vivienda de aproximadamente 60m2 y totalmente reformada hace 6 años. Dispone de un amplio salón comedor muy luminoso, cocina independiente equipada con todos los electrodomésticos, un baño completo y dos dormitorios ambos con entradas independientes pero comunicados entre si.  No dudes en llamarnos para realizar una visita o solicitar más información.",False,good,False,False,1774.0,False,False,False,False,False,False,flat,"Agra del Orzán - Ventorrillo, A Coruña",Piso en VILLA DE NEGREIRA,,,,,,,,
19,97111729,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/dd/fc/98/1004042755.jpg,23,5,115000.0,flat,sale,105.0,True,3,2,Avenida de Oza,A Coruña,A Coruña,Los Castros - Castrillón,es,43.3528565,-8.3913328,False,https://www.idealista.com/inmueble/97111729/,2779,"REF: 5276 Rias Altas en Calle Avenida De Oza. En uno de los barrios más populares de la ciudad, rodeado de todos los servicios necesarios y perfectamente comunicado tanto a pie como en transporte público te ofrecemos una vivienda para reforma integral. Muy próximo al parque de San Diego. El piso está totalmente para reformar, en su origen constaba de tres dormitorios, cocina, baño completo y un aseo. Es una vivienda con mucha luz y el edificio se encuentra en rehabilitación integral. Es una oportunidad, no dudes en venir a visitarlo..",True,renew,False,False,1095.0,True,False,False,False,False,False,flat,"Los Castros - Castrillón, A Coruña",Piso en Avenida de Oza,,,,5276A,,,,
20,99440882,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a3/8a/89/1044056972.jpg,21,2,106000.0,flat,sale,80.0,True,3,1,San Rosendo,A Coruña,A Coruña,Os Mallos,es,43.3532477,-8.413747,False,https://www.idealista.com/inmueble/99440882/,2944,"Oportunidad de piso con una excelente ubicación a pocos metros de la Estación de Tren en los Mallos Piso muy luminoso distribuido en 2 habitaciones (una de ellas italianas) y otra habitación extra tipo despacho, salón, 1 baño completo con reforma reciente, y una gran cocina con mucho almacenaje, electrodomésticos y muy luminoso. Amplio trastero. Segundo sin ascensor. Piso ubicado en zona con todos los servicios cerca, a pocos metros de la estación de tren y a 10 mins de la estación de autobuses. Para más información no dudes en contactarnos.",False,good,False,False,1325.0,False,False,False,False,False,False,flat,"Os Mallos, A Coruña",Piso en San Rosendo,,,,,,,,
21,92530934,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/51/f2/e2/933076607.jpg,33,2,110000.0,flat,sale,100.0,True,3,2,Birloque,A Coruña,A Coruña,Someso - Matogrande,es,43.3416961,-8.4155429,False,https://www.idealista.com/inmueble/92530934/,4191,"Estupendo duplex con garaje, en zona birloque. Consta de 3 dormitorios, 2 baños, cocina independiente, amueblada con tendedero indterno, terraza con vistas a zonas verdes, garaje y trastero. Muy bien comunicado a nivel transporte público y de facil acceso al centro de la ciudad, y a la salida por la tercera ronda o autopista. Próximo a marineda y polígono de pocomaco. Todos los servicios muy próximos. Inmueble puede ser adquirido como vivienda habitual o como inversión en renta con buena rentabilidad. Muy buena oportunidad.",False,good,False,False,1100.0,False,False,False,False,False,False,flat,"Someso - Matogrande, A Coruña",Piso en Birloque,True,True,,N2386,,,,
22,86519455,https://img3.idealista.com/blur/WEB_LISTING/90/id.pro.es.image.master/83/77/8f/695634789.jpg,25,1,258670.0,flat,sale,95.0,True,3,2,"Revolución Francesa, 5",A Coruña,A Coruña,Vioño,es,43.3557944,-8.4158095,True,https://www.idealista.com/inmueble/86519455/,2769,"PISO DE 3 H, EN EL PARQUE DE VIOÑO de LA CORUÑA. PLAZA DE GARAJE INCLUIDA EN EL PRECIO. 95m2. En edificio de obra nueva de. Con un salón-comedor, cocina equipada con horno, microondas, vitrocerámica y campana extractora. Dormitorios amplios con armarios empotrados y baños completos. Acabados de buena calidad con carpintería exteriores en aluminio, suelos de parquet y  puertas interiores de madera. En edificio con ascensor. Situado en el parque de Vioño, con buenas vistas al Parque. Al lado de una de las vías principales de entrada al centro de la ciudad y muy próximo a la conexión con la Tercera Ronda. Rodeado de todos los servicios y de colegios e institutos, y al lado de campo municipal Arsenio Iglesias.",False,good,False,True,2723.0,False,False,False,False,False,False,flat,"Vioño, A Coruña","Piso en Revolución Francesa, 5",True,True,,Dc-Coruña-PS-ALI0000083695,,,,
23,93642827,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/87/ba/36/868093844.jpg,21,5,110000.0,flat,sale,60.0,False,2,1,"Calle Pedroso, 15",A Coruña,A Coruña,Os Mallos,es,43.3529078,-8.4140915,True,https://www.idealista.com/inmueble/93642827/,2990,"Se vende 5º piso reformado a estrenar en Calle Pedroso, zona Mallos-Vioño. Se trata de un atico interior luminoso con amplio ascensor en edificio con nuevo portal adaptado. Sus 60 m2 se distribuyen en salon, nueva cocina totalmente equipada con office-comedor, 2 buenos dormitorios y baño completo con ducha. Recien reformado con buenas calidades, ventanas climalit, instalaciones nuevas, tarima... El ascensor de 6 plazas es nuevo y el edificio se ha adaptado a personas con movilidad reducida. Buena zona, al lado del centro de Salud, Parque de Vioño y todos los servicios. inmotk. com.",True,good,False,True,1833.0,False,False,False,False,False,False,flat,"Os Mallos, A Coruña","Piso en Calle Pedroso, 15",,,,3969B,,,,
