,propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,superTopHighlight,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,neighborhood,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,parkingSpace.parkingSpacePrice,labels,newDevelopmentFinished
10,99449182,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/64/37/c7/1055574549.jpg,00594,30,8,300000.0,flat,sale,87.0,True,3,2,Calle Juan Flórez,A Coruña,A Coruña,Ensanche - Juan Florez,es,43.3670243,-8.4102682,False,https://www.idealista.com/inmueble/99449182/,1485,"Piso a la venta, situado en una de las principales zonas residenciales y más demandadas de A Coruña, en la Calle Juan Flórez.  El piso se distribuye en sus 72,41 m2 útiles (86,00 m2 construidos) en salón-comedor, cocina independiente con terraza, para zona de lavandería, 3 dormitorios y dos baños completos. La configuración de divide en zona de día, con el salón -comedor y la cocina junto a la entrada de la vivienda, y la zona de noche, al fondo de la vivienda, donde se sitúan las tres habitaciones y los baños. Tanto el salón como las habitaciones son todas exteriores, con vistas a la calle Juan Flórez, que hace que sea un piso muy luminoso, además de su altura, ya que se trata de una octava planta. También hay que destacar, que la fachada está reformada recientemente y el acceso en el portal se han eliminado las barraras arquitectónicas mediante un elevador. Debido a su magnífica ubicación, cuenta con todos los servicios en el entorno cercano, como colegios, supermercados, ocio, hostelería, etc. así como una gran facilidad para el acceso de entrada y salida de la ciudad.",False,good,False,True,3448.0,True,False,False,False,False,False,flat,"Juan Flórez-San Pablo, A Coruña",Piso en Calle Juan Flórez,Juan Flórez-San Pablo,,,,,,
11,99562878,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f5/f4/aa/1047625031.jpg,2179,14,8,300000.0,flat,sale,90.0,True,3,2,juan florez,A Coruña,A Coruña,Ensanche - Juan Florez,es,43.3663704,-8.4079323,False,https://www.idealista.com/inmueble/99562878/,1433,"PISO DE 90 M2 EN 8º PLANTA EXTERIOR DE CALLE JUAN FLÓREZ  Vivienda en Juan Flórez - Plaza de Pontevedra, de 90 m2 de superficie construida en octava planta exterior luminosa y soleada de edificio en buen estado con acceso libre de barreras y dotado de ascensor, con fachada ventilada nueva y zonas comunes renovadas. Vivienda distribuida actualmente en salón-comedor, cocina independiente con tendedero exterior cubierto, tres dormitorios exteriores y dos baños. El piso tiene calefacción individual eléctrica, ventanas exteriores renovadas, armarios empotrados, puerta blindada, video portero, suelos de tarima, etc. Gastos de comunidad de 40 € mensuales. Northwind inmuebles comercializa esta céntrica y atractiva vivienda en un precio de 300.000 € + impuestos.",False,good,False,True,3333.0,True,False,False,False,False,False,flat,"Juan Flórez-San Pablo, A Coruña",Piso en juan florez,Juan Flórez-San Pablo,,,,,,
12,98880371,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/84/43/e7/1034732837.jpg,VE2224,22,1,230000.0,flat,sale,75.0,True,2,2,Calle Juan Díaz Porlier,A Coruña,A Coruña,Someso - Matogrande,es,43.3404255,-8.4052384,False,https://www.idealista.com/inmueble/98880371/,4135,"MATOGRANDE. - Este anuncio dispone de tour virtual. A un paso de la rotonda arbolada. Vivienda totalmente exterior, soleada y muy cuidada. Su distribución sin pasillo, incorpora todos los m2 a las estancias, por lo que resultan muy espaciosas.  2 dormitorios dobles, ambos con buen servicio de armario empotrado.  2 baños uno con ducha y otro con bañera.  Amplio salón comedor, muy acogedor y con espacio suficiente para crear varios ambientes.  La cocina, independiente, reformada totalmente actual, amueblada con mucho servicio y espacio para mesa de diario.  Tendedero a modo zona lavandería y otro exterior cubierto a patio.  La vivienda está perfectamente aislada con doble ventana. Cuenta con suelo de parquet y cerámico en zonas húmedas.    PLAZA DE GARAJE muy cómoda y trastero.  Situado en el corazón de Matogrande. Al pie de la glorieta arbolada, a un paso del Colegio Liceo y del centro de salud.  Matogrande cuenta con todos los servicios del día a día a pie de puerta y se caracteriza por ser un barrio dinámico con situación excelente de entrada y salida de la ciudad en cualquier dirección.",False,good,False,True,3067.0,True,False,True,False,False,False,flat,"Someso - Matogrande, A Coruña",Piso en Calle Juan Díaz Porlier,,True,True,,,,
13,98664584,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/92/9d/de/1019745097.jpg,B239,41,5,240000.0,flat,sale,107.0,True,3,2,"Calle Jacinto Benavente, 1",A Coruña,A Coruña,Los Castros - Castrillón,es,43.3529188,-8.3966361,True,https://www.idealista.com/inmueble/98664584/,2715,"Luminosa vivienda en quinta planta de edificio moderno, construido en 2001, en excelente estado de conservación. Se distribuye en salón comedor, cocina con lavadero-tendedero, tres dormitorios siendo uno de ellos en suite con baño y un segundo baño completo de servicio a la vivienda. Ambos baños han sido recientemente renovados. La vivienda cuenta con armarios empotrados y mucho almacenaje. Dispone de trastero y plaza de garaje en el propio edificio. Ubicado a cinco minutos a pie del Corte Inglés de Cuatro Caminos! Con excelente conexión a las salidas y entradas de la ciudad de A Coruña y rodeado de todos los servicios e infraestructuras propias del centro urbano. Ven a verlo, te gustará! [IW].",False,good,False,True,2243.0,True,False,True,False,False,False,flat,"Los Castros - Castrillón, A Coruña","Piso en Calle Jacinto Benavente, 1",,True,True,,,,
14,99530463,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/08/d2/dd/1046619613.jpg,Pv-Eiris,10,,110000.0,chalet,sale,85.0,False,2,1,Eiris de arriba,A Coruña,A Coruña,Eirís,es,43.3460667,-8.3932671,False,https://www.idealista.com/inmueble/99530463/,3498,"Excelente casa para hacer a su gusto, 80 metros cuadrados, 200 metros de jardín vallado, la distribución actual es de cocina, Sala de estar y baño en la parte de abajo y dos habitaciones en la parte de arriba, casa muy soleada durante todo el día, zona tranquila, buen vecindario, la vivienda necesita reforma.",False,renew,False,,1294.0,False,False,False,False,False,False,chalet,"Eirís, A Coruña",Chalet adosado en Eiris de arriba,,,,terracedHouse,,,
15,99583965,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/19/c2/1b/1048272532.jpg,,27,4,140000.0,duplex,sale,157.0,True,4,2,"Petunias, 19",A Coruña,A Coruña,Someso - Matogrande,es,43.3439598,-8.4028895,True,https://www.idealista.com/inmueble/99583965/,3723,"Rentaloo vende este fabuloso dúplex en un edificio precioso conocido por ser obra del arquitecto Ramon Vázquez Morezún, el edificio cuenta con ascensor y el acceso independiente por dos portales uno de ellos a pie de calle. La zona es conocida por estar rodeada de todos los servicios como centros de salud, supermercados, etc. además de muchos parques que lo hacen tranquilo como ninguno. La vivienda se entrega vacía en el momento de la compra ya que actualmente se está llevando a cabo la mudanza que puede tardar un tiempo. Recomendamos ver el tour 3D de la vivienda para conseguir una experiencia más real que las fotografías y vídeos. No dude en contactar con nuestros agentes para resolver cualquier pregunta o agendar visitas. Publicación no vinculante, puede contener errores o sufrir variaciones.",True,good,False,True,892.0,True,True,False,False,False,False,flat,"Someso - Matogrande, A Coruña","Dúplex en Petunias, 19",,True,False,duplex,10000.0,,
16,99232572,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/46/13/96/1037295406.jpg,23356498,45,1,129000.0,flat,sale,55.0,True,1,1,Calle Merced,A Coruña,A Coruña,Los Castros - Castrillón,es,43.3516885,-8.3992931,False,https://www.idealista.com/inmueble/99232572/,2848,"Piso en la Merced a estrenar. Vivienda totalmente reformada, exterior y luminosa. El programa consta de salón-cocina, zona de lavandería, un dormitorio y un baño. La vivienda cuenta con acceso directo desde la vía pública, si bien equivale a un primero por la diferencia de cota de rasante respecto a la calle a la que presenta fachada. En cuanto acabados interiores, los suelos son de tarima flotante color roble excepto zonas húmedas que están alicatadas y soladas con gres porcelánico, la carpintería interior lacada en blanco, armarios empotrados y ventanas de aluminio con rotura de puente térmico oscilobatientes y vidrio doble. Cocina totalmente equipada con electrodomésticos de gama alta de Balay.  Cuenta con calefacción y ACS eléctricos. Se vende con muebles. Edificio muy bien situado, con todos los servicios necesarios como transporte público, restaurantes, pequeño comercio y a pocos minutos del Centro Comercial Cuatro Caminos y del Corte Inglés. En InmoARCH, prestamos un servicio integral de asesoramiento inmobiliario y arquitectónico, contando con estudio propio de arquitectura. Gestionamos tu casa para materializar tu sueño Si quieres hacer una visita virtual entra en.",True,good,False,False,2345.0,True,True,False,False,False,False,flat,"Los Castros - Castrillón, A Coruña",Piso en Calle Merced,,,,,,,
17,99513415,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/21/20/03/1046316858.jpg,B248,11,,135000.0,flat,sale,60.0,True,2,1,"Avenida Santa Cristina, 17",A Coruña,Oleiros,Perillo,es,43.3383465,-8.3770976,True,https://www.idealista.com/inmueble/99513415/,4664,"En el corazón de Santa Cristina, Oleiros, a escasos metros de la Playa que le da su nombre al pueblo, encontramos una Urbanización formada por 8 apartamentos. Cuatro apartamentos conforman la Planta Baja y otros cuatro la Planta Alta, rodeados de terraza comunitaria, árboles, bonitas vistas y sabor a playa! El apartamento que comercializamos es la Planta Baja cuya terraza está orientada a la Avenida de Santa Cristina. Cuenta, en la actualidad, con 60 metros útiles distribuidos en Hall, Cocina - Salón, Baño completo y dos dormitorios. Bonita terraza privada con salida desde una de las estancias. La vivienda precisa de reforma-actualización para recobrar el brillo que tuvo en los años 80. No dejes de venir a verla tanto si quieres un cambio de vida como si buscas una inversión con un gran recorrido de rentabilidad para alquiler vacacional! [IW].",False,good,False,False,2250.0,False,False,False,False,False,False,flat,"Perillo, Oleiros","Piso en Avenida Santa Cristina, 17",,,,,,"[{'name': 'apartamentoType', 'text': 'Apartamento'}]",
18,99538521,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ff/eb/15/1046875174.jpg,08651,25,2,140000.0,flat,sale,114.0,True,4,2,Agra del Orzán - Ventorrillo,A Coruña,A Coruña,Agra del Orzán - Ventorrillo,es,43.3583402,-8.4210791,False,https://www.idealista.com/inmueble/99538521/,2787,"_Estupendo piso totalmente exterior en Ronda de Outeiro, a la altura de Vioño. Zona con muy buena entrada y salida de la ciudad y rodeada de todos los servicios. _ El piso está ubicado en un edificio de ocho alturas y son dos pisos por planta. Se trata de un segundo con ascensor. Muy soleado puesto que  goza de orientación sur. El portal se libra de las barreras arquitectónicas por medio de un elevador eléctrico tipo ascensor. _Consta de 114m2 distribuidos actualmente en un buen recibidor, salón comedor amplio, cocina independiente con zona de lavandería anexa, cuatro dormitorios, un baño completo y un aseo. _ Todas las estancias del piso son exteriores, salvo un dormitorio y la cocina que dan a patio. El piso necesita una actualización, pero tiene muchas posibilidades, por ejemplo se podría hacer un baño completo a mayores sin problema. _Para más información no dude en llamarnos, el piso le encantará. ENSEÑA ASINMO.",False,good,False,True,1228.0,False,False,False,False,False,False,flat,"Agra del Orzán - Ventorrillo, A Coruña",Piso,,,,,,,
19,91598170,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ba/64/7b/963923890.jpg,,24,6,158000.0,flat,sale,100.0,True,3,2,"Monasterio de Bergondo, 12",A Coruña,A Coruña,Agra del Orzán - Ventorrillo,es,43.3622732,-8.4238254,True,https://www.idealista.com/inmueble/91598170/,2641,"VENTORRILLO.  Se vende amplio piso de 3 dormitorios y 2 dormitorios.  Se trata de una vivienda distribuida de la siguiente forma: Amplia cocina totalmente amueblada y equipada con electrodomésticos, zona de comedor y área de lavadero independiente.  Amplio salón-comedor. Dormitorio principal con vestidor y baño muy grande (con ducha y jacuzzi). 2 dormitorios. 1 baño. 6ª planta. Suelos de parquet en salón y dormitorios. Recién pintado. LA VIVIENDA ESTÁ ACTUALMENTE ALQUILADA EN 550€ PRECIO: 158.000€ MAS INFORMACIÓN EN EL 664 039 842.",False,good,False,True,1580.0,False,False,False,False,False,False,flat,"Agra del Orzán - Ventorrillo, A Coruña","Piso en Monasterio de Bergondo, 12",,,,,,,
